Malcolm Turnbull,Representative,Wentworth,New South Wales,Liberal Party of Australia,,Malcolm_Turnbull,885
Maria Vamvakinou,Representative,Calwell,Victoria,Australian Labor Party,,Maria_Vamvakinou,00AMT
Marise Payne,Senator,,New South Wales,Liberal Party of Australia,,Marise_Payne,M56
Mark Butler,Representative,Port Adelaide,South Australia,Australian Labor Party,,Mark_Butler,HWK
Mark Coulton,Representative,Parkes,New South Wales,The Nationals,,Mark_Coulton,HWN
Mark Dreyfus,Representative,Isaacs,Victoria,Australian Labor Party,,Mark_Dreyfus,HWG
Martin Ferguson,Representative,Batman,Victoria,Australian Labor Party,Life Gold Pass Holder,Martin_Ferguson,
Mathias Cormann,Senator,,Western Australia,Liberal Party of Australia,,Mathias_Cormann,HDA
Matt Keogh,Representative,Burt,Western Australia,Australian Labor Party,,Matt_Keogh,249147
Matt Thistlethwaite,Representative,Kingsford Smith,New South Wales,Australian Labor Party,,Matt_Thistlethwaite,182468
Matt Williams,Representative,Hindmarsh,South Australia,Liberal Party of Australia,Post Retirement Traveller,Matt_Williams_(Australian_politician),
Matthew Canavan,Senator,,Queensland,The Nationals,,Matthew_Canavan,245212
Melissa Parke,Representative,Fremantle,Western Australia,Australian Labor Party,,Melissa_Parke,
Melissa Price,Representative,Durack,Western Australia,Liberal Party of Australia,,Melissa_Price,249308
Meryl Swanson,Representative,Paterson,New South Wales,Australian Labor Party,,Meryl_Swanson,264170
Michael Danby,Representative,Melbourne Ports,Victoria,Australian Labor Party,,Michael_Danby,WF6
Michael Keenan,Representative,Stirling,Western Australia,Liberal Party of Australia,,Michael_Keenan,E0J
Michael McCormack,Representative,Riverina,New South Wales,The Nationals,,Michael_McCormack_(Australian_politician),219646
Michael Ronaldson,Senator,,Victoria,Liberal Party of Australia,Life Gold Pass Holder,Michael_Ronaldson,
Michael Sukkar,Representative,Deakin,Victoria,Liberal Party of Australia,,Michael_Sukkar,242515
Michael Wooldridge,Representative,Chisholm,Victoria,Liberal Party of Australia,Life Gold Pass Holder,Michael_Wooldridge,
Michaelia Cash,Senator,,Western Australia,Liberal Party of Australia,,Michaelia_Cash,I0M
Michelle Landry,Representative,Capricornia,Queensland,The Nationals,,Michelle_Landry,249764
Michelle Rowland,Representative,Greenway,New South Wales,Australian Labor Party,,Michelle_Rowland,159771
Mike Freelander,Representative,Macarthur,New South Wales,Australian Labor Party,,Mike_Freelander,265979
Mike Kelly,Representative,Eden-Monaro,New South Wales,Australian Labor Party,,Mike_Kelly_(Australian_politician),HRI
Milton Dick,Representative,Oxley,Queensland,Australian Labor Party,,Milton_Dick,53517
Mitch Fifield,Senator,,Victoria,Liberal Party of Australia,,Mitch_Fifield,D2I
Murray Watt,Senator,,Queensland,Australian Labor Party,,Murray_Watt,245759
Nancy Gorton,,,,,Surviving Spouse,John_Gorton,
Natasha Griggs,Representative,Solomon,Northern Territory,Liberal Party of Australia,Post Retirement Traveller,Natasha_Griggs,
Nick Bolkus,Senator,,South Australia,Australian Labor Party,Life Gold Pass Holder,Nick_Bolkus,
Nick Champion,Representative,Wakefield,South Australia,Australian Labor Party,,Nick_Champion,HW9
Nick McKim,Senator,,Tasmania,Australian Greens,,Nick_McKim,JKM
Nick Minchin,Senator,,South Australia,Liberal Party of Australia,Life Gold Pass Holder,Nick_Minchin,
Nick Sherry,Senator,,Tasmania,Australian Labor Party,Life Gold Pass Holder,Nick_Sherry,
Nick Xenophon,Senator,,South Australia,Nick Xenophon Team,,Nick_Xenophon,
Nickolas Varvaris,Representative,Barton,New South Wales,Liberal Party of Australia,Post Retirement Traveller,Nickolas_Varvaris,
Nicola Roxon,Representative,Gellibrand,Victoria,Australian Labor Party,Life Gold Pass Holder,Nicola_Roxon,
Nicolle Flint,Representative,Boothby,South Australia,Liberal Party of Australia,,Nicolle_Flint,245550
Nigel Scullion,Senator,,Northern Territory,Country Liberal Party,,Nigel_Scullion,00AOM
Nola Marino,Representative,Forrest,Western Australia,Liberal Party of Australia,,Nola_Marino,HWP
Nova Peris,Senator,,Northern Territory,Australian Labor Party,Post Retirement Traveller,Nova_Peris,
Pat Conroy,Representative,Shortland,New South Wales,Australian Labor Party,,Pat_Conroy,249127
Pat Dodson,Senator,,Western Australia,Australian Labor Party,,Pat_Dodson,
Patrick Dodson,Senator,,Western Australia,Australian Labor Party,,Patrick_Dodson,SR5
Paul Fletcher,Representative,Bradfield,New South Wales,Liberal Party of Australia,,Paul_Fletcher_(politician),L6B
Paul Keating,Representative,Blaxland,New South Wales,Australian Labor Party,Former Prime Minister,Paul_Keating,
Pauline Hanson,Senator,,Queensland,Pauline Hanson's One Nation,,Pauline_Hanson,BK6
Penny Wong,Senator,,South Australia,Australian Labor Party,,Penny_Wong,00AOU
Penny Wright,Senator,,South Australia,Australian Greens,,Penny_Wright,
Peter Dutton,Representative,Dickson,Queensland,Liberal Party of Australia,,Peter_Dutton,00AKI
Peter Georgiou,Senator,,Western Australia,Pauline Hanson's One Nation,,Peter_Georgiou,269583
Peter Hendy,Representative,Eden-Monaro,New South Wales,Liberal Party of Australia,Post Retirement Traveller,Peter_Hendy,
Peter Khalil,Representative,Wills,Victoria,Australian Labor Party,,Peter_Khalil,101351
Peter Slipper,Representative,Fisher,Queensland,Independent,Life Gold Pass Holder,Peter_Slipper,
Peter Whish-Wilson,Senator,,Tasmania,Australian Greens,,Peter_Whish-Wilson,195565
Philip Ruddock,Representative,Berowra,New South Wales,Liberal Party of Australia,Life Gold Pass Holder,Philip_Ruddock,
Rachel Siewert,Senator,,Western Australia,Australian Greens,,Rachel_Siewert,e5z
Rebekha Sharkie,Representative,Mayo,South Australia,Nick Xenophon Team,,Rebekha_Sharkie,265980
Richard Colbeck,Senator,,Tasmania,Liberal Party of Australia,Post Retirement Traveller,Richard_Colbeck,
Richard Di Natale,Senator,,Victoria,Australian Greens,,Richard_Di_Natale,53369
Richard Marles,Representative,Corio,Victoria,Australian Labor Party,,Richard_Marles,HWQ
Rick Wilson,Representative,O'Connor,Western Australia,Liberal Party of Australia,,Rick_Wilson_(Australian_politician),198084
Ricky Muir,Senator,,Victoria,Australian Motoring Enthusiast Party,Post Retirement Traveller,Ricky_Muir,
Rob Mitchell,Representative,McEwen,Victoria,Australian Labor Party,,Rob_Mitchell_(Victorian_politician),M3E
Robert McClelland,Representative,Barton,New South Wales,Australian Labor Party,Life Gold Pass Holder,Robert_McClelland,
Robert Simms,Senator,,South Australia,Australian Greens,Post Retirement Traveller,Robert_Simms_(Australian_politician),
Ronald Boswell,Senator,,Queensland,The Nationals,Life Gold Pass Holder,Ron_Boswell,
Ross Hart,Representative,Bass,Tasmania,Australian Labor Party,,Ross_Hart,263070
Ross Vasta,Representative,Bonner,Queensland,Liberal Party of Australia,,Ross_Vasta,E0D
Rowan Ramsey,Representative,Grey,South Australia,Liberal Party of Australia,,Rowan_Ramsey,HWS
Russell Broadbent,Representative,McMillan,Victoria,Liberal Party of Australia,,Russell_Broadbent,MT4
Russell Matheson,Representative,Macarthur,New South Wales,Liberal Party of Australia,Post Retirement Traveller,Russell_Matheson,
Sam Dastyari,Senator,,New South Wales,Australian Labor Party,,Sam_Dastyari,225099
Sarah Hanson-Young,Senator,,South Australia,Australian Greens,,Sarah_Hanson-Young,I0U
Sarah Henderson,Representative,Corangamite,Victoria,Liberal Party of Australia,,Sarah_Henderson,ZN4
Scott Buchholz,Representative,Wright,Queensland,Liberal Party of Australia,,Scott_Buchholz,230531
Scott Ludlam,Senator,,Western Australia,Australian Greens,,Scott_Ludlam,
Scott Morrison,Representative,Cook,New South Wales,Liberal Party of Australia,,Scott_Morrison,E3L
Scott Ryan,Senator,,Victoria,Liberal Party of Australia,,Scott_Ryan_(Australian_politician),I0Q
Sean Edwards,Senator,,South Australia,Liberal Party of Australia,Post Retirement Traveller,Sean_Edwards_(politician),
Sharman Stone,Representative,Murray,Victoria,Liberal Party of Australia,Life Gold Pass Holder,Sharman_Stone,
Sharon Bird,Representative,Cunningham,New South Wales,Australian Labor Party,,Sharon_Bird,DZP
