"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 9 Dec 16","","","","360.00","09-Dec-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","1 The Sydney Morning Herald (Sat) 1 Aug to 28 Aug 16","","","","3.18","28-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","1 The Weekend Australian 1 Aug to 28 Aug 16","","","","3.18","28-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","20 The Australian 1 Aug to 28 Aug 16","","","","49.09","28-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","20 The Sydney Morning Herald 1 Aug to 28 Aug 16","","","","45.45","28-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","21 Western Advocate 1 Aug to 28 Aug 16","","","","34.36","28-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","Administrative fees 1 Aug to 28 Aug 16","","","","12.73","28-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","5 Lithgow Mercury 19 Aug to 4 Sep 16","","","","7.64","04-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","12 Central Western Daily 19 Aug to 4 Sep 16","","","","20.00","04-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","12 Western Advocate 19 Aug to 4 Sep 16","","","","18.55","04-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","14 The Daily Telegraph 19 Aug to 4 Sep 16","","","","23.45","04-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","2 The Land 19 Aug to 4 Sep 16","","","","7.27","04-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","4 Mudgee Guardian and Gulgong Advertiser 19 Aug to 4 Sep 16","","","","6.18","04-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","2 Wellington Times 19 Aug to 4 Sep 16","","","","2.55","04-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","24 Central Western Daily 5 Sep to 2 Oct 16","","","","40.00","02-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","24 Western Advocate 5 Sep to 2 Oct 16","","","","37.09","02-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","28 The Daily Telegraph 5 Sep to 2 Oct 16","","","","46.91","02-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","4 The Land 5 Sep to 2 Oct 16","","","","14.55","02-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","4 Wellington Times 5 Sep to 2 Oct 16","","","","5.09","02-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","8 Lithgow Mercury 5 Sep to 2 Oct 16","","","","12.36","02-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","8 Mudgee Guardian and Gulgong Advertiser 5 Sep to 2 Oct 16","","","","12.36","02-Oct-2016"
