"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date","Date From","Date To","Location","Nights","Rate","Spouse"
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Australian 2 May to 29 May 16","46.91","29-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 2 May to 29 May 16","5.56","29-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Canberra Times 2 May to 29 May 16","40.00","29-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 The Land 2 May to 29 May 16","13.82","29-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Bombala Times 9 May to 5 Jun 16","5.82","05-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","8 Bega District News 9 May to 5 Jun 16","11.64","05-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Narooma News 9 May to 5 Jun 16","5.82","05-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Magnet 9 May to 5 Jun 16","5.82","05-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 9 May to 5 Jun 16","6.55","05-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Merimbula News Weekly 9 May to 5 Jun 16","5.82","05-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","25 The Australian 30 May to 3 Jul 16","58.64","03-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","25 The Daily Telegraph 30 May to 3 Jul 16","34.09","03-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","25 The Sydney Morning Herald 30 May to 3 Jul 16","56.82","03-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 Economist 30 May to 3 Jul 16","50.00","03-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 The Land 30 May to 3 Jul 16","18.18","03-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 The Queanbeyan Age 30 May to 3 Jul 16","6.36","03-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 30 May to 3 Jul 16","6.73","03-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","25 The Canberra Times 30 May to 3 Jul 16","50.00","03-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 6 Jun to 10 Jul 16","6.55","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","8 Bega District News 6 Jun to 10 Jul 16","11.64","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Narooma News 6 Jun to 10 Jul 16","5.82","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Merimbula News Weekly 6 Jun to 10 Jul 16","5.82","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Magnet 6 Jun to 10 Jul 16","5.82","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Bombala Times 6 Jun to 10 Jul 16","5.82","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 Apr to 27 May 16","1,018.84","27-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 Apr to 27 May 16","6.37","27-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 Apr to 27 May 16","1.67","27-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 Apr to 27 May 16","128.40","27-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 May to 27 Jun 16","0.37","27-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 May to 27 Jun 16","16.83","27-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 May to 27 Jun 16","2,711.90","27-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 May to 27 Jun 16","208.52","27-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","Office requisites and stationery 1 Jun to 30 Jun 16","93.84","30-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 Jun to 27 Jul 16","0.18","27-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 Jun to 27 Jul 16","854.41","27-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 Jun to 27 Jul 16","67.69","27-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 Jun to 27 Jul 16","0.51","27-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 July 2016","Office phones 1 Jul 16","108.95","01-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 July 2016","Office fax 1 Jul 16","82.35","01-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 July 2016","Office phones 2 Jul 16","1,349.99","02-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 July 2016","Office fax 2 Jul 16","147.60","02-Jul-2016","","","","","",""
