"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Perth to Sydney","","","1,682.32","05-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Sydney to Canberra","","","","05-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Sydney","","","341.03","09-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Sydney to Perth","","","1,945.04","10-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","11 Feb 17 - Perth to Adelaide","","","1,370.42","11-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Adelaide to Canberra","","","861.23","12-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Sydney","","","628.69","16-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Melbourne","","","2,455.86","02-Mar-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Melbourne to Perth","","","","03-Mar-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Mar 17 - Canberra to Sydney","","","121.30","21-Mar-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","30 Apr 16 - Launceston to Melbourne","","","45.45","30-Apr-2016","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","13 Dec 16 - Canberra to Sydney","","","599.25","13-Dec-2016","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","18 Dec 16 - Perth to Sydney","","","2,070.21","18-Dec-2016","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","21 Dec 16 - Sydney to Perth","","","1,932.32","21-Dec-2016","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","26 Dec 16 - Perth to Adelaide","","","1,370.42","26-Dec-2016","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","28 Dec 16 - Adelaide to Sydney","","","943.31","28-Dec-2016","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","29 Dec 16 - Sydney to Perth","","","1,932.32","29-Dec-2016","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 4 Jan 17","","","40.91","04-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 14 Jan to 13 Feb 17","","","464.50","13-Feb-2017","",""
