"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","9 Mar 17 - Adelaide","","","40.00","09-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","9 Mar 17 - Melbourne","","","69.70","09-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","13 Mar 17 - Canberra","","","80.40","13-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Mar 17 - Canberra","","","40.00","14-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Mar 17 - Canberra","","","40.00","14-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Mar 17 - Brisbane","","","135.00","14-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","19 Mar 17 - Brisbane","","","128.85","19-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","19 Mar 17 - Canberra","","","80.40","19-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","21 Mar 17 - Canberra","","","40.00","21-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Mar 17 - Canberra","","","40.00","22-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Canberra","","","40.00","23-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Mar 17 - Canberra","","","40.00","28-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","Before 1 January 2017","","","","8 Dec 16 - Brisbane","","","160.00","08-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","Before 1 January 2017","","","","9 Dec 16 - Brisbane","","","100.00","09-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","23,686.44","01-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","2,387.98","01-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Jan to 31 Jan 17","","","24.19","31-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 16 Jan 17","","","1.14","16-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 16 Jan 17","","","26.60","16-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 24 Jan to 23 Feb 17","","","144.84","23-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 24 Jan to 23 Feb 17","","","3.13","23-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Feb to 28 Feb 17","","","172.38","28-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Flags 1 Feb to 28 Feb 17","","","2,575.00","28-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 7 Feb 17","","","1.14","07-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 7 Feb 17","","","53.20","07-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 23 Feb 17","","","1.14","23-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 23 Feb 17","","","26.60","23-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 7 Mar 17","","","26.60","07-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 21 Mar 17","","","13.30","21-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 21 Mar 17","","","1.14","21-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 24 Nov to 23 Dec 16","","","143.26","23-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 24 Nov to 23 Dec 16","","","4.70","23-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Office requisites and stationery 1 Dec to 31 Dec 16","","","62.96","31-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Flags 1 Dec to 31 Dec 16","","","72.00","31-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Water refills 20 Dec 16","","","26.60","20-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Water refills 20 Dec 16","","","1.14","20-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 24 Dec 16 to 23 Jan 17","","","0.26","24-Dec-2016","",""
