"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Monochrome copy charge 28 Mar to 27 Apr 16","","","","34.50","27-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Office requisites and stationery 1 Apr to 30 Apr 16","","","","468.35","30-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Office requisites and stationery 1 May to 31 May 16","","","","322.87","31-May-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","","","","Toner cartridge credit 1 Jul 12 to 30 Jun 14","","","","-317.61","01-Jul-2012"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","","","","Toner cartridge credit 1 Jul 14 to 30 Jun 15","","","","-29.09","01-Jul-2014"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","","","","MFD Colour copy charge 28 Oct to 27 Nov 15","","","","326.78","27-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","","","","MFD Monochrome copy charge 28 Oct to 27 Nov 15","","","","10.04","27-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","","","","MFD Colour copy charge 28 Nov to 27 Dec 15","","","","59.35","27-Dec-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","","","","MFD Monochrome copy charge 28 Nov to 27 Dec 15","","","","24.69","27-Dec-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","","","","MFD Colour copy charge 28 Dec 15 to 27 Jan 16","","","","10.58","28-Dec-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","","","","MFD Monochrome copy charge 28 Dec 15 to 27 Jan 16","","","","1.33","28-Dec-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","1 Printed item 1 Jan 16","","","","500.00","01-Jan-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution 1 Jan to 31 Jan 16","","","","1,577.70","31-Jan-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution credit 1 Jan to 31 Jan 16","","","","-22.73","31-Jan-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","e-material 12 Jan to 12 Feb 16","","","","45.15","12-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Printing 28 Jan 16","","","","100.00","28-Jan-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution 1 Feb to 29 Feb 16","","","","9,105.95","29-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution credit 1 Feb to 29 Feb 16","","","","-22.73","29-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","2,000 Printed items 4 Feb 16","","","","591.50","04-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Printing 4 Feb 16","","","","250.00","04-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","e-material 12 Feb to 12 Mar 16","","","","43.81","12-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","7,000 Personalised letterhead stationery 17 Feb 16","","","","500.00","17-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","12,000 Printed items 17 Feb 16","","","","2,363.64","17-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution 1 Mar to 31 Mar 16","","","","9,763.77","31-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution credit 1 Mar to 31 Mar 16","","","","-11.36","31-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","1,500 Printed items 2 Mar 16","","","","289.00","02-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","e-material 12 Mar to 12 Apr 16","","","","41.96","12-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","100,000 Personalised letterhead stationery 17 Mar 16","","","","4,272.73","17-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","10,000 Personalised letterhead stationery 17 Mar 16","","","","794.00","17-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Printing 17 Mar 16","","","","150.00","17-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","14,000 Printed items 17 Mar 16","","","","772.73","17-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","4,000 Printed items 24 Mar 16","","","","418.18","24-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Printing 31 Mar 16","","","","250.00","31-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","10,000 Printed items 31 Mar 16","","","","818.18","31-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","PO Box 395 rental 1 Apr 16 to 31 Mar 17","","","","432.73","01-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution 1 Apr to 30 Apr 16","","","","3,290.27","30-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution credit 1 Apr to 30 Apr 16","","","","-11.36","30-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","1,000 Printed items 8 Apr 16","","","","289.00","08-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","e-material 12 Apr to 12 May 16","","","","41.00","12-May-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","30,000 Printed items 15 Apr 16","","","","1,509.09","15-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution 15 Apr 16","","","","1,636.36","15-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","2 Printed items 16 Apr 16","","","","139.00","16-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","5,000 Printed items 30 Apr 16","","","","486.36","30-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","15,000 Printed items 30 Apr 16","","","","818.18","30-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","30,000 Printed items 30 Apr 16","","","","2,073.64","30-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution 1 May to 31 May 16","","","","13,078.45","31-May-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution credit 1 May to 31 May 16","","","","-1,278.93","31-May-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","70,000 Printed items 5 May 16","","","","3,445.45","05-May-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Printing 5 May 16","","","","250.00","05-May-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","4 Printed items 5 May 16","","","","258.00","05-May-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution 10 May to 11 May 16","","","","3,475.91","11-May-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","e-material 12 May to 12 Jun 16","","","","43.83","12-Jun-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","77,000 Printed items 2 Jun 16","","","","5,365.45","02-Jun-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution 2 Jun 16","","","","9,710.92","02-Jun-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Printing 6 Jun 16","","","","250.00","06-Jun-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","1,666 Personalised letterhead stationery 6 Jun 16","","","","120.00","06-Jun-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","1,666 Printed items 6 Jun 16","","","","572.73","06-Jun-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Distribution 6 Jun 16","","","","181.75","06-Jun-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","73,669 Printed items 7 Jun 16","","","","3,608.18","07-Jun-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","73,669 Printed items 9 Jun 16","","","","3,608.18","09-Jun-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","","","","Printing 9 Jun 16","","","","200.00","09-Jun-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","1 Printed item credit 23 Jul 15","","","","-409.09","23-Jul-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","e-material 18 Oct 15","","","","36.44","18-Oct-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","e-material 31 Oct 15","","","","29.71","31-Oct-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","1,000 Printed items 3 Nov 15","","","","500.00","03-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","1 Printed item 12 Nov 15","","","","300.00","12-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","1 Printed item 12 Nov 15","","","","300.00","12-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","1 Printed item 12 Nov 15","","","","300.00","12-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","e-material 12 Nov to 12 Dec 15","","","","44.05","12-Dec-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","8,711 Printed items 26 Nov 15","","","","705.00","26-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","Distribution 26 Nov 15","","","","1,099.00","26-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","8,568 Printed items 26 Nov 15","","","","695.00","26-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","Distribution 26 Nov 15","","","","1,091.00","26-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","Printing 27 Nov 15","","","","180.00","27-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","1,000 Printed items 28 Nov 15","","","","158.00","28-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2016","","","","1,000 Printed items 28 Nov 15","","","","445.00","28-Nov-2015"
